feature,importance_mean,importance_std
selftext_compound_std,0.063574575,0.0
post_score_log,0.062774315,0.0
comment_count,0.05207253,0.0
selftext_compound_median,0.051862616,0.0
post_score_sum,0.04664392,0.0
comment_score_median,0.04195218,0.0
selftext_compound_mean,0.04189774,0.0
post_upvote_ratio_mean,0.040731307,0.0
ma20,0.03937353,0.0
post_count,0.03750032,0.0
post_upvote_ratio_median,0.03685086,0.0
title_compound_median,0.036749057,0.0
body_compound_mean,0.036567934,0.0
ma10,0.036527514,0.0
post_comments_sum,0.024171809,0.0
post_comments_median,0.02323003,0.0
post_comments_std,0.021173347,0.0
post_comments_mean,0.020646509,0.0
comment_score_log,0.0199733,0.0
body_compound_median,0.01992006,0.0
engagement_ratio,0.019742424,0.0
compound_sentiment_count,0.01917244,0.0
post_score_std,0.019154008,0.0
compound_sentiment_std,0.018550823,0.0
ma5,0.017624442,0.0
comment_score_mean,0.017547209,0.0
post_score_median,0.017112285,0.0
title_compound_mean,0.016703276,0.0
body_compound_std,0.01575459,0.0
title_compound_std,0.01573745,0.0
compound_sentiment_mean,0.0145941395,0.0
comment_score_sum,0.014159207,0.0
post_score_mean,0.013599616,0.0
comment_score_std,0.013575804,0.0
compound_sentiment_median,0.0127788205,0.0
